0.506 0.363 0.025 0.138   -1.0
0.592 0.405 0.893 0.851   1.0
0.982 0.358 0.135 0.653   1.0
0.547 0.645 0.957 0.166   1.0
0.934 0.696 0.139 0.150   -1.0
0.336 0.433 0.812 0.022   -1.0
0.376 0.528 0.574 0.401   -1.0
0.314 0.993 0.071 0.208   -1.0
0.938 0.190 0.201 0.072   -1.0
0.129 0.620 0.488 0.085   -1.0
0.504 0.020 0.482 0.643   -1.0
0.669 0.978 0.603 0.481   1.0
0.815 0.857 0.528 0.389   1.0
0.194 0.703 0.251 0.264   -1.0
0.094 0.202 0.101 0.295   -1.0
0.944 0.424 0.894 0.432   1.0
0.679 0.936 0.529 0.161   1.0
0.699 0.830 0.557 0.302   1.0
0.558 0.117 0.169 0.085   -1.0
0.427 0.279 0.210 0.678   -1.0
0.121 0.773 0.745 0.221   -1.0
0.019 0.165 0.492 0.913   -1.0
0.002 0.592 0.534 0.531   -1.0
0.113 0.230 0.583 0.671   -1.0
0.895 0.228 0.649 0.064   -1.0
0.155 0.491 0.593 0.365   -1.0
0.136 0.485 0.942 0.881   1.0
0.010 0.900 0.872 0.502   1.0
0.470 0.503 0.405 0.004   -1.0
0.158 0.117 0.264 0.741   -1.0
0.795 0.636 0.016 0.444   -1.0
0.330 0.599 0.190 0.923   -1.0
0.359 0.059 0.448 0.301   -1.0
0.155 0.311 0.840 0.027   -1.0
0.653 0.496 0.316 0.058   -1.0
0.350 0.216 0.617 0.614   1.0
0.405 0.409 0.592 0.421   -1.0
0.292 0.751 0.452 0.482   -1.0
0.415 0.841 0.733 0.864   1.0
0.673 0.019 0.453 0.513   -1.0
0.265 0.165 0.542 0.581   -1.0
0.042 0.932 0.438 0.660   1.0
0.395 0.065 0.955 0.987   1.0
0.808 0.279 0.238 0.260   -1.0
0.912 0.675 0.601 0.645   1.0
0.743 0.318 0.557 0.196   -1.0
0.603 0.461 0.996 0.145   1.0
0.219 0.187 0.974 0.657   1.0
0.519 0.052 0.911 0.474   -1.0
0.397 0.282 0.318 0.635   -1.0
0.078 0.547 0.216 0.680   -1.0
0.755 0.423 0.510 0.312   -1.0
0.341 0.914 0.080 0.336   -1.0
0.122 0.555 0.246 0.096   -1.0
0.092 0.615 0.264 0.003   -1.0
0.303 0.400 0.371 0.621   -1.0
0.912 0.700 0.582 0.128   1.0
0.774 0.882 0.803 0.285   1.0
0.421 0.625 0.108 0.501   1.0
0.167 0.623 0.516 0.413   -1.0
0.728 0.505 0.334 0.992   1.0
0.424 0.296 0.907 0.794   1.0
0.943 0.706 0.616 0.525   1.0
0.996 0.299 0.716 0.799   1.0
0.910 0.220 0.209 0.018   -1.0
0.170 0.186 0.345 0.687   -1.0
0.064 0.415 0.104 0.398   -1.0
0.611 0.822 0.703 0.518   1.0
0.619 0.461 0.322 0.236   1.0
0.156 0.232 0.285 0.871   -1.0
0.869 0.781 0.251 0.078   -1.0
0.972 0.248 0.986 0.317   1.0
0.584 0.381 0.350 0.688   1.0
0.757 0.299 0.601 0.460   1.0
0.217 0.079 0.278 0.539   -1.0
0.264 0.694 0.547 0.549   1.0
0.578 0.419 0.347 0.828   1.0
0.147 0.801 0.745 0.132   -1.0
0.680 0.717 0.499 0.030   -1.0
0.278 0.787 0.704 0.879   1.0
0.521 0.095 0.326 0.800   -1.0
0.641 0.064 0.328 0.188   -1.0
0.894 0.765 0.032 0.241   -1.0
0.528 0.387 0.395 0.273   -1.0
0.512 0.953 0.236 0.011   1.0
0.641 0.289 0.770 0.345   1.0
0.016 0.866 0.263 0.342   -1.0
0.897 0.983 0.730 0.225   1.0
0.343 0.118 0.936 0.375   -1.0
0.530 0.903 0.746 0.924   1.0
0.266 0.437 0.130 0.503   -1.0
0.113 0.144 0.737 0.882   -1.0
0.904 0.899 0.355 0.167   1.0
0.021 0.063 0.224 0.750   -1.0
0.394 0.093 0.406 0.330   -1.0
0.765 0.860 0.370 0.512   1.0
0.547 0.778 0.221 0.676   1.0
0.668 0.789 0.424 0.405   1.0
0.913 0.309 0.570 0.268   1.0
0.811 0.288 0.539 0.035   -1.0
